duplicate_type,duplicate_key,duplicate_count,sample_row_number,sample_ref_number,sample_recipient_legal_name,sample_recipient_city,sample_recipient_postal_code,sample_agreement_start_date,sample_agreement_value
org_city_postal,org=BLACK PRESS GROUP LTD.|city=Surrey | Surrey|postal=V3S 6T4,318,139860,016-2020-2021-Q2-1334619,BLACK PRESS GROUP LTD.,Surrey | Surrey,V3S 6T4,2020-04-01,67199
org_city_postal,org=METROLAND MEDIA GROUP LTD.|city=Toronto | Toronto|postal=M5E 1E6,226,159948,016-2021-2022-Q4-1347219,METROLAND MEDIA GROUP LTD.,Toronto | Toronto,M5E 1E6,2021-04-01,94980
org_city_postal,org=ANNEX BUSINESS MEDIA INC.|city=Simcoe | Simcoe|postal=N3Y 4N5,208,160036,016-2021-2022-Q4-1347307,ANNEX BUSINESS MEDIA INC.,Simcoe | Simcoe,N3Y 4N5,2021-04-01,22331
org_city_postal,org=Atlantic Association of Community Business Development Corporations|Atlantic Association of Community Business Development Corporations|city=Mulgrave|Mulgrave|postal=B0E 2G0,127,19036,276-2005-2006-Q4-00003,Atlantic Association of Community Business Development Corporations|Atlantic Association of Community Business Development Corporations,Mulgrave|Mulgrave,B0E 2G0,2006-02-14,165000
org_city_postal,org=Memorial University of Newfoundland|Memorial University of Newfoundland|city=St. John's|St. John's|postal=A1C 5S7,112,18179,276-2007-2008-Q4-00056,Memorial University of Newfoundland|Memorial University of Newfoundland,St. John's|St. John's,A1C 5S7,2008-02-25,120000
org_city_postal,org=Nova Scotia Business Inc.|Nova Scotia Business Inc.|city=Halifax|Halifax|postal=B3J 3E4,110,18986,276-2007-2008-Q2-00176,Nova Scotia Business Inc.|Nova Scotia Business Inc.,Halifax|Halifax,B3J 3E4,2007-07-03,70000
org_city_postal,org=University of Prince Edward Island|University of Prince Edward Island|city=Charlottetown|Charlottetown|postal=C1A 4P3,108,18191,276-2009-2010-Q4-00217,University of Prince Edward Island|University of Prince Edward Island,Charlottetown|Charlottetown,C1A 4P3,2010-03-29,1207161
org_city_postal,org=Prince Edward Island BioAlliance Inc.|Prince Edward Island BioAlliance Inc.|city=Charlottetown|Charlottetown|postal=C1A 8R8,90,18195,276-2010-2011-Q1-00116,Prince Edward Island BioAlliance Inc.|Prince Edward Island BioAlliance Inc.,Charlottetown|Charlottetown,C1A 8R8,2010-04-29,432000
org_city_postal,org=University of New Brunswick|University of New Brunswick|city=Fredericton|Fredericton|postal=E3B 5A3,89,18553,276-2019-2020-Q2-00035,University of New Brunswick|University of New Brunswick,Fredericton|Fredericton,E3B 5A3,2019-07-09,879710
org_city_postal,"org=Greater Saint John Community Economic Development Agency, Incorporated|Greater Saint John Community Economic Development Agency, Incorporated|city=Saint John|Saint John|postal=E2L 1G3",81,18506,276-2019-2020-Q1-00302,"Greater Saint John Community Economic Development Agency, Incorporated|Greater Saint John Community Economic Development Agency, Incorporated",Saint John|Saint John,E2L 1G3,2019-06-27,473558
org_city_postal,org=POSTMEDIA NETWORK INC.|city=Toronto | Toronto|postal=M4W 3L4,80,139320,016-2020-2021-Q2-1334077,POSTMEDIA NETWORK INC.,Toronto | Toronto,M4W 3L4,2020-04-01,44217
org_city_postal,org=Innovation PEI|Innovation PEI|city=Charlottetown|Charlottetown|postal=C1A 7L9,78,18389,276-2019-2020-Q1-00153,Innovation PEI|Innovation PEI,Charlottetown|Charlottetown,C1A 7L9,2019-05-10,360206
org_city_postal,org=Holland College|Holland College|city=Charlottetown|Charlottetown|postal=C1A 4Z1,78,18841,276-2018-2019-Q4-00354,Holland College|Holland College,Charlottetown|Charlottetown,C1A 4Z1,2019-02-06,0
org_city_postal,org=TVA PUBLICATIONS INC|city=Montréal | Montréal|postal=H2L 4P2,75,180025,016-2023-2024-Q2-1360857,TVA PUBLICATIONS INC,Montréal | Montréal,H2L 4P2,2023-04-01,66432
org_city_postal,org=Trade Centre Limited|Trade Centre Limited|city=Halifax|Halifax|postal=B3J 2V9,72,18182,276-2007-2008-Q4-00273,Trade Centre Limited|Trade Centre Limited,Halifax|Halifax,B3J 2V9,2008-03-28,1250000
org_city_postal,org=Taste of Nova Scotia Society|Taste of Nova Scotia Society|city=Dartmouth|Dartmouth|postal=B2Y 4P5,71,18244,276-2013-2014-Q1-00202,Taste of Nova Scotia Society|Taste of Nova Scotia Society,Dartmouth|Dartmouth,B2Y 4P5,2013-04-26,34021
org_city_postal,org=Tourism Industry Association of Prince Edward Island|Tourism Industry Association of Prince Edward Island|city=Charlottetown|Charlottetown|postal=C1A 7N7,70,18203,276-2010-2011-Q4-00295,Tourism Industry Association of Prince Edward Island|Tourism Industry Association of Prince Edward Island,Charlottetown|Charlottetown,C1A 7N7,2011-03-29,22500
org_city_postal,org=ICIMÉDIAS INC.|city=St-Jean-sur-Richelieu | St-Jean-sur-Richelieu|postal=J2X 1R2,69,120209,016-2018-2019-Q1-1319069,ICIMÉDIAS INC.,St-Jean-sur-Richelieu | St-Jean-sur-Richelieu,J2X 1R2,2018-04-01,173679
org_city_postal,org=Cape Breton Regional Municipality|Cape Breton Regional Municipality|city=Sydney|Sydney|postal=B1P 7B9,68,18135,276-2019-2020-Q1-00231,Cape Breton Regional Municipality|Cape Breton Regional Municipality,Sydney|Sydney,B1P 7B9,2019-06-12,25000
org_city_postal,org=VILLAGE MEDIA INC.|city=Sudbury | Sudbury|postal=P3C 5N3,68,180022,016-2023-2024-Q2-1360724,VILLAGE MEDIA INC.,Sudbury | Sudbury,P3C 5N3,2023-04-01,18696
