original_value,normalized_value,suggested_group,similarity_score,count,decision
Memorial University of Newfoundland|Memorial University of Newfoundland,MEMORIAL UNIVERSITY OF NEWFOUNDLAND,Memorial University of Newfoundland|Memorial University of Newfoundland,100,302,accepted
PROVINCE OF ONTARIO,PROVINCE OF ONTARIO,PROVINCE OF ONTARIO,100,185,accepted
Atlantic Association of Community Business Development Corporations|Atlantic Association of Community Business Development Corporations,ATLANTIC ASSOCIATION OF COMMUNITY BUSINESS DEVELOPMENT CORPORATIONS,Atlantic Association of Community Business Development Corporations|Atlantic Association of Community Business Development Corporations,100,127,accepted
University of Prince Edward Island|University of Prince Edward Island,UNIVERSITY OF PRINCE EDWARD ISLAND,University of Prince Edward Island|University of Prince Edward Island,100,111,accepted
University of New Brunswick|University of New Brunswick,UNIVERSITY OF NEW BRUNSWICK,University of New Brunswick|University of New Brunswick,100,101,accepted
LearnSphere Canada Inc.|LearnSphere Canada Inc.,LEARNSPHERE CANADA INC,LearnSphere Canada Inc.|LearnSphere Canada Inc.,100,95,accepted
Nova Scotia Association of Community Business Development Corporations|Nova Scotia Association of Community Business Development Corporations,NOVA SCOTIA ASSOCIATION OF COMMUNITY BUSINESS DEVELOPMENT CORPORATIONS,Nova Scotia Association of Community Business Development Corporations|Nova Scotia Association of Community Business Development Corporations,100,93,accepted
Prince Edward Island BioAlliance Inc.|Prince Edward Island BioAlliance Inc.,PRINCE EDWARD ISLAND BIOALLIANCE INC,Prince Edward Island BioAlliance Inc.|Prince Edward Island BioAlliance Inc.,100,90,accepted
Taste of Nova Scotia Society|Taste of Nova Scotia Society,TASTE OF NOVA SCOTIA SOCIETY,Taste of Nova Scotia Society|Taste of Nova Scotia Society,100,86,accepted
CANADIAN CURLING ASSOCIATION,CANADIAN CURLING ASSOCIATION,CANADIAN CURLING ASSOCIATION,100,81,accepted
LITERARY AND HISTORICAL SOCIETY OF QUEBEC,LITERARY AND HISTORICAL SOCIETY OF QUEBEC,LITERARY AND HISTORICAL SOCIETY OF QUEBEC,100,80,accepted
Innovation PEI|Innovation PEI,INNOVATION PEI,Innovation PEI|Innovation PEI,100,78,accepted
TVA PUBLICATIONS INC,TVA PUBLICATIONS INC,TVA PUBLICATIONS INC,100,76,accepted
Dalhousie University|Dalhousie University,DALHOUSIE UNIVERSITY,Dalhousie University|Dalhousie University,100,71,accepted
JUDO CANADA,JUDO CANADA,JUDO CANADA,100,70,accepted
EduNova Co-operative Limited|EduNova Co-operative Limited,EDUNOVA CO OPERATIVE LIMITED,EduNova Co-operative Limited|EduNova Co-operative Limited,100,69,accepted
Newfoundland and Labrador Association of Community Business Development Corporat|Newfoundland and Labrador Association of Community Business Development Corporat,NEWFOUNDLAND AND LABRADOR ASSOCIATION OF COMMUNITY BUSINESS DEVELOPMENT CORPORAT,Newfoundland and Labrador Association of Community Business Development Corporat|Newfoundland and Labrador Association of Community Business Development Corporat,100,69,accepted
Cape Breton Regional Municipality|Cape Breton Regional Municipality,CAPE BRETON REGIONAL MUNICIPALITY,Cape Breton Regional Municipality|Cape Breton Regional Municipality,100,68,accepted
CANADIAN OLYMPIC COMMITTEE,CANADIAN OLYMPIC COMMITTEE,CANADIAN OLYMPIC COMMITTEE,100,67,accepted
Mount Saint Vincent University - Centre for Women in Business|Mount Saint Vincent University - Centre for Women in Business,MOUNT SAINT VINCENT UNIVERSITY CENTRE FOR WOMEN IN BUSINESS,Mount Saint Vincent University - Centre for Women in Business|Mount Saint Vincent University - Centre for Women in Business,100,63,accepted
Opportunities New Brunswick|Opportunities New Brunswick,OPPORTUNITIES NEW BRUNSWICK,Opportunities New Brunswick|Opportunities New Brunswick,100,63,accepted
CENTRE CULTUREL ABERDEEN INC.,CENTRE CULTUREL ABERDEEN INC,CENTRE CULTUREL ABERDEEN INC.,100,62,accepted
CONSEIL COMMUNAUTAIRE DU GRAND-HAVRE,CONSEIL COMMUNAUTAIRE DU GRAND HAVRE,CONSEIL COMMUNAUTAIRE DU GRAND-HAVRE,100,62,accepted
The University of New Brunswick|The University of New Brunswick,THE UNIVERSITY OF NEW BRUNSWICK,The University of New Brunswick|The University of New Brunswick,100,61,accepted
CITÉ DES ARTS DU CIRQUE,CITE DES ARTS DU CIRQUE,CITÉ DES ARTS DU CIRQUE,100,60,accepted
Atlantic Food And Beverage Processors Association Inc.|Atlantic Food And Beverage Processors Association Inc.,ATLANTIC FOOD AND BEVERAGE PROCESSORS ASSOCIATION INC,Atlantic Food And Beverage Processors Association Inc.|Atlantic Food And Beverage Processors Association Inc.,100,59,accepted
RDÉE Î.-P.-É. inc.|RDÉE Î.-P.-É. inc.,RDEE I P E INC,RDÉE Î.-P.-É. inc.|RDÉE Î.-P.-É. inc.,100,57,accepted
Cape Breton Business Partnership Inc.|Cape Breton Business Partnership Inc.,CAPE BRETON BUSINESS PARTNERSHIP INC,Cape Breton Business Partnership Inc.|Cape Breton Business Partnership Inc.,100,56,accepted
RÉSEAU ONTARIO DES ARTS DE LA SCÈNE INC.,RESEAU ONTARIO DES ARTS DE LA SCENE INC,RÉSEAU ONTARIO DES ARTS DE LA SCÈNE INC.,100,54,accepted
CBDC Madawaska Inc.|CBDC Madawaska Inc.,CBDC MADAWASKA INC,CBDC Madawaska Inc.|CBDC Madawaska Inc.,100,51,accepted
CROSS COUNTRY SKI DE FOND CANADA,CROSS COUNTRY SKI DE FOND CANADA,CROSS COUNTRY SKI DE FOND CANADA,100,49,accepted
YOUTH EMPLOYMENT SERVICES FOUNDATION,YOUTH EMPLOYMENT SERVICES FOUNDATION,YOUTH EMPLOYMENT SERVICES FOUNDATION,100,49,accepted
ASSEMBLÉE DE LA FRANCOPHONIE DE L'ONTARIO,ASSEMBLEE DE LA FRANCOPHONIE DE L ONTARIO,ASSEMBLÉE DE LA FRANCOPHONIE DE L'ONTARIO,100,48,accepted
NEI Association Inc.|NEI Association Inc.,NEI ASSOCIATION INC,NEI Association Inc.|NEI Association Inc.,100,48,accepted
East Prince Development Inc.|East Prince Development Inc.,EAST PRINCE DEVELOPMENT INC,East Prince Development Inc.|East Prince Development Inc.,100,47,accepted
PEKUAKAMIULNUATSH TAKUHIKAN,PEKUAKAMIULNUATSH TAKUHIKAN,PEKUAKAMIULNUATSH TAKUHIKAN,100,47,accepted
CONSEIL ACADIEN DE PAR-EN-BAS,CONSEIL ACADIEN DE PAR EN BAS,CONSEIL ACADIEN DE PAR-EN-BAS,100,46,accepted
Battlefords Agency Tribal Chiefs Inc.,BATTLEFORDS AGENCY TRIBAL CHIEFS INC,Battlefords Agency Tribal Chiefs Inc.,100,45,accepted
CBDC Chaleur Inc.|CBDC Chaleur Inc.,CBDC CHALEUR INC,CBDC Chaleur Inc.|CBDC Chaleur Inc.,100,45,accepted
